1,以下哪种数据结构属于线性结构？,栈,二叉树,图,集合,0,线性表,1
2,在一个长度为n的顺序表中删除第i个元素需要移动多少个元素？,n-i,n-i+1,i,i-1,0,线性表,2
3,链表不具有的特点是？,插入删除不需要移动元素,随机访问,动态分配内存,所需空间与线性表长度成正比,1,线性表,1
4,栈的插入和删除操作在？,栈底,栈顶,任意位置,指定位置,1,栈,1
5,一个栈的入栈序列是a b c d e，则不可能的出栈序列是？,e d c b a,d e c b a,d c e a b,a b c d e,2,栈,3
6,递归函数的调用和返回过程利用了什么数据结构？,队列,栈,数组,树,1,栈,2
7,判定一个循环队列qu(size为N)为空的条件是？,qu.front==qu.rear,qu.front!=qu.rear,(rear+1)%N==front,qu.front+qu.rear==N,0,队列,3
8,在循环队列中用数组A[0..m-1]存放元素，队头和队尾指针分别为front和rear，则当前队列中的元素个数是？,(rear-front+m)%m,rear-front+1,rear-front-1,rear-front,0,队列,3
9,设主串长为n，模式串长为m，BF算法(暴力匹配)的时间复杂度是？,O(n+m),O(n*m),O(n),O(m),1,串,2
10,串是一种特殊的线性表，其特殊性体现在？,数据元素是一个字符,数据元素可以是多个字符,数据元素不可重复,数据元素必须有序,0,串,1
11,二维数组M的元素是4个字符(每个2字节)，行下标i从0到4，列下标j从0到5，M按行存储时元素M[3][5]的起始地址与M[0][0]的偏移量是？,46字节,44字节,92字节,88字节,0,数组,4
12,稀疏矩阵压缩存储后，通常会失去什么特性？,顺序存储,随机存取,连续存储,紧凑存储,1,数组,3
13,深度为k的完全二叉树至少有多少个结点？,2^(k-1),2^k - 1,2^(k-1) - 1,2^k,0,树与二叉树,3
14,具有10个叶子结点的二叉树，其度为2的结点个数是？,8,9,10,11,1,树与二叉树,2
15,二叉树的中序遍历序列和后序遍历序列正好相反，则该二叉树满足？,所有结点没有左孩子,所有结点没有右孩子,是一棵满二叉树,是一棵完全二叉树,1,树与二叉树,4
16,线索二叉树是一种？,逻辑结构,物理结构,线性结构,非线性结构,1,树与二叉树,2
17,哈夫曼树的带权路径长度(WPL)是？,所有叶子结点的带权路径长度之和,所有结点的带权路径长度之和,树的高度,根结点的权值,0,树与二叉树,3
18,在一个无向图中，所有顶点的度数之和等于所有边数的？,1倍,2倍,3倍,4倍,1,图,2
19,具有n个顶点的有向图最多有多少条边？,n,n(n-1),n(n+1),n^2,1,图,2
20,判断有向图是否存在回路，最好使用？,拓扑排序,求最短路径,求最小生成树,广度优先遍历,0,图,4
21,Prim算法适合什么样的图求最小生成树？,稠密图,稀疏图,有向图,无环图,0,图,4
22,Dijkstra算法用于求解？,最小生成树,拓扑排序,单源最短路径,多源最短路径,2,图,3
23,顺序查找适合于存储结构为？,顺序存储或链接存储,只能是顺序存储,只能是链接存储,索引存储,0,查找,1
24,对有序表(12 24 36 48 60 72 84)进行二分查找，查找成功时的最大比较次数是？,3,4,5,6,0,查找,2
25,二叉排序树(BST)的查找效率主要取决于？,结点的个数,树的高度,结点的权值,树的度,1,查找,3
26,哈希表处理冲突的开放定址法中，最简单的方法是？,线性探测法,二次探测法,伪随机探测法,再哈希法,0,哈希表,2
27,设哈希表长m=14，哈希函数H(key)=key%11，表中已有4个结点，则装填因子是？,4/14,4/11,11/14,14/11,0,哈希表,3
28,直接插入排序在最好情况下的时间复杂度是？,O(n),O(n^2),O(nlogn),O(1),0,排序,2
29,以下哪种排序算法是不稳定的？,冒泡排序,直接插入排序,归并排序,快速排序,3,排序,3
30,快速排序在最坏情况下的时间复杂度是？,O(n),O(nlogn),O(n^2),O(n^3),2,排序,3
31,堆排序属于哪一类排序？,插入排序,交换排序,选择排序,归并排序,2,排序,3
32,一组记录关键码为(46 79 56 38 40 84)，则利用堆排序建立的初始大根堆是？,84 79 56 38 40 46,84 79 56 46 40 38,84 56 79 40 46 38,84 46 79 56 38 40,0,排序,5
33,归并排序的时间复杂度是？,O(n),O(n^2),O(nlogn),O(logn),2,排序,3
34,向一个栈顶指针为top的链栈(不带头结点)中插入一个s结点时，应执行？,top->next=s; s=top;,s->next=top; top=s;,s->next=top->next; top->next=s;,s->next=NULL; top=s;,1,栈,3
35,用链表表示线性表的优点是？,便于随机存取,花费空间少,便于插入和删除,数据元素地址连续,2,线性表,1
36,设指针p指向单链表中某结点，删除其后继结点(设存在)的操作是？,p->next=p->next->next;,p=p->next; p->next=p->next->next;,p->next=p->next;,free(p->next);,0,线性表,2
37,队列的“先进先出”特性是指？,最后插入的元素最后删除,最后插入的元素最先删除,最早插入的元素最后删除,最早插入的元素最先删除,3,队列,1
38,若一棵二叉树的前序遍历序列为a e b d c，后序遍历序列为b c d e a，则根结点的孩子结点？,只有e,有e b,有e c,无法确定,0,树与二叉树,4
39,某二叉树结点的中序序列为ABCDEFG，后序序列为BDCAFGE，则其左子树结点个数是？,3,4,5,6,1,树与二叉树,4
40,G是一个非连通无向图，共有28条边，则该图至少有多少个顶点？,7,8,9,10,2,图,5
41,若一个有向图具有拓扑排序序列，则该图一定是？,有环图,无环图,完全图,连通图,1,图,3
42,折半查找查找速度快，但要求表中的数据元素必须？,有序排列,顺序存储,有序且顺序存储,链接存储,2,查找,2
43,哈希查找中，解决冲突时，平均查找长度与什么有关？,哈希表长,哈希函数,装填因子,表中元素个数,2,哈希表,4
44,数据结构中，与所使用的计算机无关的是数据的？,存储结构,物理结构,逻辑结构,物理和存储结构,2,线性表,1
45,算法的时间复杂度取决于？,问题的规模,待处理数据的初态,计算机的配置,A和B,3,线性表,2
46,栈和队列的共同点是？,都是先进先出,都是先进后出,只允许在端点处插入和删除,没有共同点,2,栈,1
47,以下哪个算法不能用于求最小生成树？,Prim算法,Kruskal算法,Dijkstra算法,以上都可以,2,图,3
48,AOE网中，关键路径是？,从源点到汇点路径长度最短的路径,从源点到汇点路径长度最长的路径,从源点到汇点边数最多的路径,从源点到汇点边数最少的路径,1,图,4
49,对n个记录的进行快速排序，在最坏情况下，其递归调用栈的深度为？,O(1),O(n),O(logn),O(n^2),1,排序,4
50,下列排序算法中，占用辅助空间最多的是？,归并排序,快速排序,堆排序,冒泡排序,0,排序,2
51,将递归算法转换为非递归算法时，通常需要使用？,栈,队列,链表,树,0,栈,3
52,设计一个判别表达式中括号是否配对的算法，采用什么数据结构最佳？,顺序表,链表,栈,队列,2,栈,2
53,一棵完全二叉树有1001个结点，其叶子结点的个数是？,250,500,501,251,2,树与二叉树,4
54,平衡二叉树(AVL)的特点是？,任意结点的左右子树高度差绝对值不超过1,任意结点的左右子树高度差不超过1,树的高度最低,树的度最大,0,查找,3
55,B-树是一种？,平衡的多路查找树,二叉排序树,完全二叉树,最小生成树,0,查找,4
56,排序趟数与序列的原始状态有关的排序方法是？,插入排序,选择排序,冒泡排序,快速排序,3,排序,3
57,一组记录的排序码为(25 48 16 35 79 82 23 40)，其中含有4个有序子序列，则该排序方法是？,直接插入排序,归并排序,冒泡排序,快速排序,1,排序,4
58,图的广度优先搜索(BFS)类似于树的？,先序遍历,中序遍历,后序遍历,层次遍历,3,图,2
59,图的深度优先搜索(DFS)类似于树的？,先序遍历,中序遍历,后序遍历,层次遍历,0,图,2
60,Floyd算法用于解决什么问题？,最小生成树,单源最短路径,多源最短路径,拓扑排序,2,图,4
61,带头结点的单链表head为空的判定条件是？,head==NULL,head->next==NULL,head->next==head,head!=NULL,1,线性表,1
62,在一个单链表中若删除p所指结点的后继结点，时间复杂度是？,O(1),O(n),O(n^2),O(logn),0,线性表,1
63,双向链表中删除指针p所指结点，需要修改多少个指针域？,1,2,3,4,3,线性表,2
64,线性表采用链式存储时，其地址？,必须连续,一定不连续,部分地址必须连续,连续与否均可,3,线性表,1
65,若用一个大小为6的数组来实现循环队列，且当前rear和front的值分别为0和3，当从队列中删除一个元素，再加入两个元素后，rear和front的值分别为？,1和5,2和4,4和2,5和1,1,队列,3
66,用两个栈S1和S2模拟一个队列时，如何判断队列为空？,S1为空,S2为空,S1和S2都为空,S1或S2为空,2,栈,2
67,后缀表达式"3 4 + 5 *"的值是？,23,35,19,20,1,栈,2
68,设数组A[0..9]的元素是10个字符，每个元素占1个字节，起始地址为1000，则A[8]的起始地址是？,1009,1008,1007,1010,1,数组,1
69,有一个10x10的对称矩阵A，采用压缩存储方式（以行序为主存储下三角），则a[8][5]的地址与a[0][0]相差多少个元素？,36,41,45,40,1,数组,4
70,广义表((a，b)，(c，d))的表头是？,a,(a，b),((a，b)),b,1,数组,2
71,广义表((a)，a)的表尾是？,a,(a),((a)),(),1,数组,2
72,在一棵度为4的树T中，若有20个度为4的结点，10个度为3的结点，1个度为2的结点，10个度为1的结点，则树T的叶子结点个数是？,41,82,113,122,1,树与二叉树,4
73,一棵非空二叉树的第i层上最多有多少个结点？,2^i,2^(i-1),2i-1,2i+1,1,树与二叉树,2
74,具有n个结点的二叉链表中，空指针链域的个数是？,n-1,n,n+1,2n,2,树与二叉树,2
75,将一棵有100个结点的完全二叉树从根这一层开始，每一层从左到右依次对结点编号(1~100)，那么编号为49的结点的父结点编号为？,24,25,23,48,0,树与二叉树,3
76,若二叉树采用二叉链表存储结构，要交换其所有分支结点左、右子树的位置，利用什么遍历方法最合适？,前序遍历,中序遍历,后序遍历,按层次遍历,2,树与二叉树,3
77,已知一棵二叉树的前序遍历为ABCDEF，中序遍历为CBAEDF，则后序遍历为？,CBEFDA,FEDCBA,CBEDFA,CBEFAD,0,树与二叉树,4
78,构建n个叶子结点的哈夫曼树，树中总结点数为？,2n,2n-1,2n+1,n+1,1,树与二叉树,2
79,在一个无向图中，若顶点数越多，则该图？,边数越多,度数越大,连通分量越多,不确定,3,图,1
80,对于一个具有n个顶点和e条边的无向图，若采用邻接表表示，则表头向量的大小为？,n,n+1,n-1,e,0,图,2
81,对于一个具有n个顶点和e条边的无向图，若采用邻接表表示，则所有邻接表中的结点总数为？,e,2e,n,n+e,1,图,2
